id,ticker
804,PCBL
809,PIDILITIND
820,POLYPLEX
826,PRAJIND
827,PRAKASH
828,MTARTECH
829,PRECOT
830,BUTTERFLY
831,PRECWIRE
838,PIGL
839,PRSMJOHNSN
849,JUBLINGREA
850,EASEMYTRIP
851,RSWM
852,CHEMFAB
853,RAJSREESUG
855,ARVEE
856,RALLIS
857,ANURAS
858,RANASUG
860,LXCHEM
861,RANEHOLDIN
862,CRAFTSMAN
863,RAYMOND
864,RCF
865,HITECH
869,RELIANCE
874,RICOAUTO
876,RIIL
888,RUBYMILLS
894,KALYANKJIL
895,SAIL
896,SAKHTISUG
897,SURYODAY
898,ORIENTELEC
899,ORTINLAB
900,NAZARA
901,SANDESH
902,SANGHIIND
904,WONDERLA
905,SUVIDHAA
907,SOTL
909,JINDALSAW
911,SBIN
913,SCI
919,VEDL
922,SESHAPAPER
929,SHANTIGEAR
935,INDOSTAR
936,SHREDIGCEM
937,SHREECEM
942,SHREYANIND
943,BARBEQUE
944,SHREYAS
945,HONDAPOWER
946,SIDDHIKA
947,BORORENEW
948,SIEMENS
951,SIMPLEXINF
955,SKFINDIA
956,VMARCIND
963,LODHA
964,JTEKTINDIA
968,NITIRAJ
969,SPIC
974,SRF
975,TEMBO
976,METALFORGE
977,STARPAPER
978,DEEPINDS
980,LATTEYS
981,MODISONLTD
982,SUBROS
983,SUDARSCHEM
984,ISGEC
985,SUNDARMFIN
986,SUNDRMFAST
987,SUNFLAG
988,SUNPHARMA
991,SUPERSPIN
994,SUPREMEIND
997,SURYAROSNI
1001,SWARAJENG
1003,SMLISUZU
1005,AGARIND
1008,TAINWALCHM
1009,AJOONI
1010,TATACHEM
1011,TATAELXSI
1012,HONAUT
1016,TATAMETALI
1018,TATAPOWER
1020,TATACONSUM
1022,BBOX
1025,TATAMOTORS
1028,TFCILTD
1030,THERMAX
1032,THOMASCOOK
1033,CLSEL
1034,TINPLATE
1035,PGINVIT
1036,TIRUMALCHM
1037,TATASTEEL
1038,TITAN
1040,TNPETRO
1046,TORNTPHARM
1053,TTKPRESTIG
1054,EQUIPPP
1059,ADANIGREEN
1061,UCALFUEL
1068,UNICHEMLAB
1070,MOKSH
1071,UNIVCABLES
1074,JUBLPHARMA
1085,SOLARA
1086,VESUVIUS
1089,VINDHYATEL
1093,GAYAHWS
1095,VIPIND
1100,VLSFINANCE
1102,VOLTAS
1104,TATACOMM
1106,VSTIND
1109,ANMOL
1110,WALCHANNAG
1113,FINEORG
1114,WATERBASE
1115,WEIZMANIND
1119,VENKEYS
1121,RITES
1124,WHEELS
1126,WILLAMAGOR
1127,IWEL
1128,WIPRO
1129,WSTCSTPAPR
1131,VINEETLAB
1132,ZEEL
1133,ARIHANTCAP
1134,ZODIACLOTH
1135,ZUARIIND
1136,BHARATRAS
1137,TOKYOPLAST
1142,VARROC
1143,SOMANYCERA
1144,HATSUN
1147,BRIGHT
1150,CAPLIPOINT
1152,PREMIERPOL
1155,KHAITANLTD
1158,NATCOPHARM
1169,GOCLCORP
1171,REMSONSIND
1175,TNPL
1177,GREENPLY
1184,CORALFINAC
1186,PVP
1188,NAVA
1195,AUSOMENT
1197,EIMCOELECO
1198,JAYAGROGN
1202,PANACEABIO
1204,ALPSINDUS
1206,CUBEXTUB
1208,MARICO
1222,SILINV
1224,HBSL
1228,SAMBHAAV
1233,BIOFILCHEM
1238,KEYFINSERV
1240,NORBTEAEXP
1242,TCNSBRANDS
1246,SUNDRMBRAK
1249,SANGAMIND
1255,MOTHERSON
